load_zone,fuel,period,fuel_cost
Anhui,Coal,2023,4.84125595092773
Anhui,Uranium,2023,0.9
Beijing,Coal,2023,5.18384008407593
Beijing,Uranium,2023,0.9
Chongqing,Coal,2023,4.01312942504883
Chongqing,Uranium,2023,0.9
East_Inner_Mongolia,Coal,2023,2.94158773422241
East_Inner_Mongolia,Uranium,2023,0.9
Fujian,Coal,2023,6.06477098464966
Fujian,Uranium,2023,0.9
Gansu,Coal,2023,3.78001761436462
Gansu,Uranium,2023,0.9
Guangdong,Coal,2023,6.49106941223144
Guangdong,Uranium,2023,0.9
Guangxi,Coal,2023,6.49106941223144
Guangxi,Uranium,2023,0.9
Guizhou,Coal,2023,6.49106941223144
Guizhou,Uranium,2023,0.9
Hainan,Coal,2023,6.49106941223144
Hainan,Uranium,2023,0.9
Hebei,Coal,2023,5.18384008407593
Hebei,Uranium,2023,0.9
Heilongjiang,Coal,2023,4.44715518951416
Heilongjiang,Uranium,2023,0.9
Henan,Coal,2023,5.11300506591797
Henan,Uranium,2023,0.9
Hubei,Coal,2023,4.63261451721191
Hubei,Uranium,2023,0.9
Hunan,Coal,2023,4.95587997436523
Hunan,Uranium,2023,0.9
Jiangsu,Coal,2023,6.06477098464966
Jiangsu,Uranium,2023,0.9
Jiangxi,Coal,2023,4.95587997436523
Jiangxi,Uranium,2023,0.9
Jilin,Coal,2023,3.30477857589722
Jilin,Uranium,2023,0.9
Liaoning,Coal,2023,3.54948163032532
Liaoning,Uranium,2023,0.9
Ningxia,Coal,2023,3.34856753349304
Ningxia,Uranium,2023,0.9
Qinghai,Coal,2023,3.25197424888611
Qinghai,Uranium,2023,0.9
Shaanxi,Coal,2023,3.30477857589722
Shaanxi,Uranium,2023,0.9
Shandong,Coal,2023,5.18384008407593
Shandong,Uranium,2023,0.9
Shanghai,Coal,2023,6.06477098464966
Shanghai,Uranium,2023,0.9
Shanxi,Coal,2023,4.436851978302
Shanxi,Uranium,2023,0.9
Sichuan,Coal,2023,4.01312942504883
Sichuan,Uranium,2023,0.9
Tianjin,Coal,2023,5.18384008407593
Tianjin,Uranium,2023,0.9
Tibet,Coal,2023,3.25197424888611
Tibet,Uranium,2023,0.9
West_Inner_Mongolia,Coal,2023,2.94158773422241
Xinjiang,Coal,2023,3.01262364387512
Xinjiang,Uranium,2023,0.9
Yunnan,Coal,2023,6.49106941223144
Yunnan,Uranium,2023,0.9
Zhejiang,Coal,2023,6.06477098464966
Zhejiang,Uranium,2023,0.9
