regional_fuel_market,period,tier,unit_cost,max_avail_at_cost
Anhui,2023,0,15.6264331817627,1000000000.0
Beijing,2023,0,15.6264331817627,716331382.0
Chongqing,2023,0,15.6264331817627,80367744.0
East_Inner_Mongolia,2023,0,15.6264331817627,1000000000.0
Fujian,2023,0,15.6264331817627,526389168.0
Gansu,2023,0,15.6264331817627,1000000000.0
Guangdong,2023,0,15.6264331817627,1382956232.0
Guangxi,2023,0,15.6264331817627,1099524875.0
Guizhou,2023,0,15.6264331817627,1000000000.0
Hainan,2023,0,15.6264331817627,81626470.0
Hebei,2023,0,15.6264331817627,1096355837.0
Heilongjiang,2023,0,15.6264331817627,10430707.0
Henan,2023,0,15.6264331817627,133376256.0
Hubei,2023,0,15.6264331817627,63293873.0
Hunan,2023,0,15.6264331817627,1000000000.0
Jiangsu,2023,0,15.6264331817627,927039282.0
Jiangxi,2023,0,15.6264331817627,7438291.0
Jilin,2023,0,15.6264331817627,1000000000.0
Liaoning,2023,0,15.6264331817627,1090645860.0
Ningxia,2023,0,15.6264331817627,47878656.0
Qinghai,2023,0,15.6264331817627,1000000000.0
Shaanxi,2023,0,15.6264331817627,1000000000.0
Shandong,2023,0,15.6264331817627,1095527891.0
Shanghai,2023,0,15.6264331817627,562001986.0
Shanxi,2023,0,15.6264331817627,157743072.0
Sichuan,2023,0,15.6264331817627,61241076.0
Tianjin,2023,0,15.6264331817627,369488236.0
Tibet,2023,0,15.6264331817627,1000000000.0
West_Inner_Mongolia,2023,0,15.6264331817627,1000000000.0
Xinjiang,2023,0,15.6264331817627,9490234.0
Yunnan,2023,0,15.6264331817627,1000000000.0
Zhejiang,2023,0,15.6264331817627,1246543524.0
