load_zone,TIMEPOINT,zone_demand_mw
Chongqing,2025.01.22.00,9676.034600319557
Chongqing,2025.01.22.01,9053.046219023076
Chongqing,2025.01.22.02,8486.010334263581
Chongqing,2025.01.22.03,8060.754045125596
Chongqing,2025.01.22.04,7803.974205189792
Chongqing,2025.01.22.05,7635.750915219907
Chongqing,2025.01.22.06,7517.771007139303
Chongqing,2025.01.22.07,7573.002328495304
Chongqing,2025.01.22.08,8091.79358809748
Chongqing,2025.01.22.09,9283.23663373641
Chongqing,2025.01.22.10,9957.30062673505
Chongqing,2025.01.22.11,10336.715376964605
Chongqing,2025.01.22.12,10142.666219027038
Chongqing,2025.01.22.13,10250.639198205694
Chongqing,2025.01.22.14,10480.14674025394
Chongqing,2025.01.22.15,10678.479207350974
Chongqing,2025.01.22.16,10835.962381206313
Chongqing,2025.01.22.17,10805.912357668807
Chongqing,2025.01.22.18,10358.276293783398
Chongqing,2025.01.22.19,9847.385098066698
Chongqing,2025.01.22.20,9913.419768684791
Chongqing,2025.01.22.21,10336.933180028378
Chongqing,2025.01.22.22,10022.172849991965
Chongqing,2025.01.22.23,9494.722502091648
Chongqing,2025.01.23.00,9676.034600319557
Chongqing,2025.01.23.01,9053.046219023076
Chongqing,2025.01.23.02,8486.010334263581
Chongqing,2025.01.23.03,8060.754045125596
Chongqing,2025.01.23.04,7803.974205189792
Chongqing,2025.01.23.05,7635.750915219907
Chongqing,2025.01.23.06,7517.771007139303
Chongqing,2025.01.23.07,7573.002328495304
Chongqing,2025.01.23.08,8091.79358809748
Chongqing,2025.01.23.09,9283.23663373641
Chongqing,2025.01.23.10,9957.30062673505
Chongqing,2025.01.23.11,10336.715376964605
Chongqing,2025.01.23.12,10142.666219027038
Chongqing,2025.01.23.13,10250.639198205694
Chongqing,2025.01.23.14,10480.14674025394
Chongqing,2025.01.23.15,10678.479207350974
Chongqing,2025.01.23.16,10835.962381206313
Chongqing,2025.01.23.17,10805.912357668807
Chongqing,2025.01.23.18,10358.276293783398
Chongqing,2025.01.23.19,9847.385098066698
Chongqing,2025.01.23.20,9913.419768684791
Chongqing,2025.01.23.21,10336.933180028378
Chongqing,2025.01.23.22,10022.172849991965
Chongqing,2025.01.23.23,9494.722502091648
Chongqing,2025.01.24.00,9676.034600319557
Chongqing,2025.01.24.01,9053.046219023076
Chongqing,2025.01.24.02,8486.010334263581
Chongqing,2025.01.24.03,8060.754045125596
Chongqing,2025.01.24.04,7803.974205189792
Chongqing,2025.01.24.05,7635.750915219907
Chongqing,2025.01.24.06,7517.771007139303
Chongqing,2025.01.24.07,7573.002328495304
Chongqing,2025.01.24.08,8091.79358809748
Chongqing,2025.01.24.09,9283.23663373641
Chongqing,2025.01.24.10,9957.30062673505
Chongqing,2025.01.24.11,10336.715376964605
Chongqing,2025.01.24.12,10142.666219027038
Chongqing,2025.01.24.13,10250.639198205694
Chongqing,2025.01.24.14,10480.14674025394
Chongqing,2025.01.24.15,10678.479207350974
Chongqing,2025.01.24.16,10835.962381206313
Chongqing,2025.01.24.17,10805.912357668807
Chongqing,2025.01.24.18,10358.276293783398
Chongqing,2025.01.24.19,9847.385098066698
Chongqing,2025.01.24.20,9913.419768684791
Chongqing,2025.01.24.21,10336.933180028378
Chongqing,2025.01.24.22,10022.172849991965
Chongqing,2025.01.24.23,9494.722502091648
Chongqing,2025.01.25.00,9676.034600319557
Chongqing,2025.01.25.01,9053.046219023076
Chongqing,2025.01.25.02,8486.010334263581
Chongqing,2025.01.25.03,8060.754045125596
Chongqing,2025.01.25.04,7803.974205189792
Chongqing,2025.01.25.05,7635.750915219907
Chongqing,2025.01.25.06,7517.771007139303
Chongqing,2025.01.25.07,7573.002328495304
Chongqing,2025.01.25.08,8091.79358809748
Chongqing,2025.01.25.09,9283.23663373641
Chongqing,2025.01.25.10,9957.30062673505
Chongqing,2025.01.25.11,10336.715376964605
Chongqing,2025.01.25.12,10142.666219027038
Chongqing,2025.01.25.13,10250.639198205694
Chongqing,2025.01.25.14,10480.14674025394
Chongqing,2025.01.25.15,10678.479207350974
Chongqing,2025.01.25.16,10835.962381206313
Chongqing,2025.01.25.17,10805.912357668807
Chongqing,2025.01.25.18,10358.276293783398
Chongqing,2025.01.25.19,9847.385098066698
Chongqing,2025.01.25.20,9913.419768684791
Chongqing,2025.01.25.21,10336.933180028378
Chongqing,2025.01.25.22,10022.172849991965
Chongqing,2025.01.25.23,9494.722502091648
Chongqing,2025.01.26.00,9676.034600319557
Chongqing,2025.01.26.01,9053.046219023076
Chongqing,2025.01.26.02,8486.010334263581
Chongqing,2025.01.26.03,8060.754045125596
Chongqing,2025.01.26.04,7803.974205189792
Chongqing,2025.01.26.05,7635.750915219907
Chongqing,2025.01.26.06,7517.771007139303
Chongqing,2025.01.26.07,7573.002328495304
Chongqing,2025.01.26.08,8091.79358809748
