STORAGE_PROJECT,build_year,str_overnight_cost,str_fixed_om,str_storage_energy_overnight_cost
Anhui-Battery_Storage-11177-1,2023,1485958,13421,0
Anhui-Battery_Storage-11177-2,2023,1485958,13421,0
Anhui-Battery_Storage-11177-3,2023,1485958,13421,0
Anhui-Battery_Storage-11177-1,2028,1346607,12162,0
Anhui-Battery_Storage-11177-2,2028,1346607,12162,0
Anhui-Battery_Storage-11177-3,2028,1346607,12162,0
Anhui-Battery_Storage-11177-1,2033,1328640,12000,0
Anhui-Battery_Storage-11177-2,2033,1328640,12000,0
Anhui-Battery_Storage-11177-3,2033,1328640,12000,0
Anhui-Battery_Storage-11177-1,2038,1328640,12000,0
Anhui-Battery_Storage-11177-2,2038,1328640,12000,0
Anhui-Battery_Storage-11177-3,2038,1328640,12000,0
Anhui-Battery_Storage-11177-1,2043,1328640,12000,0
Anhui-Battery_Storage-11177-2,2043,1328640,12000,0
Anhui-Battery_Storage-11177-3,2043,1328640,12000,0
Anhui-Battery_Storage-11177-1,2048,1328640,12000,0
Anhui-Battery_Storage-11177-2,2048,1328640,12000,0
Anhui-Battery_Storage-11177-3,2048,1328640,12000,0
Beijing-Battery_Storage-11182-1,2023,1485958,13421,0
Beijing-Battery_Storage-11182-2,2023,1485958,13421,0
Beijing-Battery_Storage-11182-3,2023,1485958,13421,0
Beijing-Battery_Storage-11182-1,2028,1346607,12162,0
Beijing-Battery_Storage-11182-2,2028,1346607,12162,0
Beijing-Battery_Storage-11182-3,2028,1346607,12162,0
Beijing-Battery_Storage-11182-1,2033,1328640,12000,0
Beijing-Battery_Storage-11182-2,2033,1328640,12000,0
Beijing-Battery_Storage-11182-3,2033,1328640,12000,0
Beijing-Battery_Storage-11182-1,2038,1328640,12000,0
Beijing-Battery_Storage-11182-2,2038,1328640,12000,0
Beijing-Battery_Storage-11182-3,2038,1328640,12000,0
Beijing-Battery_Storage-11182-1,2043,1328640,12000,0
Beijing-Battery_Storage-11182-2,2043,1328640,12000,0
Beijing-Battery_Storage-11182-3,2043,1328640,12000,0
Beijing-Battery_Storage-11182-1,2048,1328640,12000,0
Beijing-Battery_Storage-11182-2,2048,1328640,12000,0
Beijing-Battery_Storage-11182-3,2048,1328640,12000,0
Chongqing-Battery_Storage-11171-1,2023,1485958,13421,0
Chongqing-Battery_Storage-11171-2,2023,1485958,13421,0
Chongqing-Battery_Storage-11171-3,2023,1485958,13421,0
Chongqing-Battery_Storage-11171-1,2028,1346607,12162,0
Chongqing-Battery_Storage-11171-2,2028,1346607,12162,0
Chongqing-Battery_Storage-11171-3,2028,1346607,12162,0
Chongqing-Battery_Storage-11171-1,2033,1328640,12000,0
Chongqing-Battery_Storage-11171-2,2033,1328640,12000,0
Chongqing-Battery_Storage-11171-3,2033,1328640,12000,0
Chongqing-Battery_Storage-11171-1,2038,1328640,12000,0
Chongqing-Battery_Storage-11171-2,2038,1328640,12000,0
Chongqing-Battery_Storage-11171-3,2038,1328640,12000,0
Chongqing-Battery_Storage-11171-1,2043,1328640,12000,0
Chongqing-Battery_Storage-11171-2,2043,1328640,12000,0
Chongqing-Battery_Storage-11171-3,2043,1328640,12000,0
Chongqing-Battery_Storage-11171-1,2048,1328640,12000,0
Chongqing-Battery_Storage-11171-2,2048,1328640,12000,0
Chongqing-Battery_Storage-11171-3,2048,1328640,12000,0
East_Inner_Mongolia-Battery_Storage-11188-1,2023,1485958,13421,0
East_Inner_Mongolia-Battery_Storage-11188-2,2023,1485958,13421,0
East_Inner_Mongolia-Battery_Storage-11188-3,2023,1485958,13421,0
East_Inner_Mongolia-Battery_Storage-11188-1,2028,1346607,12162,0
East_Inner_Mongolia-Battery_Storage-11188-2,2028,1346607,12162,0
East_Inner_Mongolia-Battery_Storage-11188-3,2028,1346607,12162,0
East_Inner_Mongolia-Battery_Storage-11188-1,2033,1328640,12000,0
East_Inner_Mongolia-Battery_Storage-11188-2,2033,1328640,12000,0
East_Inner_Mongolia-Battery_Storage-11188-3,2033,1328640,12000,0
East_Inner_Mongolia-Battery_Storage-11188-1,2038,1328640,12000,0
East_Inner_Mongolia-Battery_Storage-11188-2,2038,1328640,12000,0
East_Inner_Mongolia-Battery_Storage-11188-3,2038,1328640,12000,0
East_Inner_Mongolia-Battery_Storage-11188-1,2043,1328640,12000,0
East_Inner_Mongolia-Battery_Storage-11188-2,2043,1328640,12000,0
East_Inner_Mongolia-Battery_Storage-11188-3,2043,1328640,12000,0
East_Inner_Mongolia-Battery_Storage-11188-1,2048,1328640,12000,0
East_Inner_Mongolia-Battery_Storage-11188-2,2048,1328640,12000,0
East_Inner_Mongolia-Battery_Storage-11188-3,2048,1328640,12000,0
Fujian-Battery_Storage-11178-1,2023,1485958,13421,0
Fujian-Battery_Storage-11178-2,2023,1485958,13421,0
Fujian-Battery_Storage-11178-3,2023,1485958,13421,0
Fujian-Battery_Storage-11178-1,2028,1346607,12162,0
Fujian-Battery_Storage-11178-2,2028,1346607,12162,0
Fujian-Battery_Storage-11178-3,2028,1346607,12162,0
Fujian-Battery_Storage-11178-1,2033,1328640,12000,0
Fujian-Battery_Storage-11178-2,2033,1328640,12000,0
Fujian-Battery_Storage-11178-3,2033,1328640,12000,0
Fujian-Battery_Storage-11178-1,2038,1328640,12000,0
Fujian-Battery_Storage-11178-2,2038,1328640,12000,0
Fujian-Battery_Storage-11178-3,2038,1328640,12000,0
Fujian-Battery_Storage-11178-1,2043,1328640,12000,0
Fujian-Battery_Storage-11178-2,2043,1328640,12000,0
Fujian-Battery_Storage-11178-3,2043,1328640,12000,0
Fujian-Battery_Storage-11178-1,2048,1328640,12000,0
Fujian-Battery_Storage-11178-2,2048,1328640,12000,0
Fujian-Battery_Storage-11178-3,2048,1328640,12000,0
Gansu-Battery_Storage-11192-1,2023,1485958,13421,0
Gansu-Battery_Storage-11192-2,2023,1485958,13421,0
Gansu-Battery_Storage-11192-3,2023,1485958,13421,0
Gansu-Battery_Storage-11192-1,2028,1346607,12162,0
Gansu-Battery_Storage-11192-2,2028,1346607,12162,0
Gansu-Battery_Storage-11192-3,2028,1346607,12162,0
Gansu-Battery_Storage-11192-1,2033,1328640,12000,0
Gansu-Battery_Storage-11192-2,2033,1328640,12000,0
Gansu-Battery_Storage-11192-3,2033,1328640,12000,0
Gansu-Battery_Storage-11192-1,2038,1328640,12000,0
Gansu-Battery_Storage-11192-2,2038,1328640,12000,0
Gansu-Battery_Storage-11192-3,2038,1328640,12000,0
Gansu-Battery_Storage-11192-1,2043,1328640,12000,0
Gansu-Battery_Storage-11192-2,2043,1328640,12000,0
Gansu-Battery_Storage-11192-3,2043,1328640,12000,0
Gansu-Battery_Storage-11192-1,2048,1328640,12000,0
Gansu-Battery_Storage-11192-2,2048,1328640,12000,0
Gansu-Battery_Storage-11192-3,2048,1328640,12000,0
Guangdong-Battery_Storage-11197-1,2023,1485958,13421,0
Guangdong-Battery_Storage-11197-2,2023,1485958,13421,0
Guangdong-Battery_Storage-11197-3,2023,1485958,13421,0
Guangdong-Battery_Storage-11197-1,2028,1346607,12162,0
Guangdong-Battery_Storage-11197-2,2028,1346607,12162,0
Guangdong-Battery_Storage-11197-3,2028,1346607,12162,0
Guangdong-Battery_Storage-11197-1,2033,1328640,12000,0
Guangdong-Battery_Storage-11197-2,2033,1328640,12000,0
Guangdong-Battery_Storage-11197-3,2033,1328640,12000,0
Guangdong-Battery_Storage-11197-1,2038,1328640,12000,0
