STORAGE_PROJECT,str_dbid,str_tech,str_energy_source,str_load_zone,str_max_age,str_is_variable,str_is_flexible_baseload,str_is_baseload,str_can_provide_spinning_reserves,str_full_load_heat_rate,str_variable_om,str_connect_cost_per_mw,str_scheduled_outage_rate,str_forced_outage_rate,str_capacity_limit_mw,str_min_build_capacity,str_storage_efficiency,str_min_load_fraction,str_is_reconnected,str_is_grid_connected,str_is_distributed,storage_max_power_mw
Anhui-Battery_Storage-11177-1,new.11177,Battery_Storage,Storage,Anhui,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,TRUE,FALSE,FALSE,10
Anhui-Battery_Storage-11177-2,new.11177,Battery_Storage,Storage,Anhui,15,FALSE,FALSE,FALSE,TRUE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,TRUE,FALSE,10
Anhui-Battery_Storage-11177-3,new.11177,Battery_Storage,Storage,Anhui,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,FALSE,TRUE,10
Beijing-Battery_Storage-11182-1,new.11182,Battery_Storage,Storage,Beijing,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,TRUE,FALSE,FALSE,10
Beijing-Battery_Storage-11182-2,new.11182,Battery_Storage,Storage,Beijing,15,FALSE,FALSE,FALSE,TRUE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,TRUE,FALSE,10
Beijing-Battery_Storage-11182-3,new.11182,Battery_Storage,Storage,Beijing,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,FALSE,TRUE,10
Chongqing-Battery_Storage-11171-1,new.11171,Battery_Storage,Storage,Chongqing,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,TRUE,FALSE,FALSE,10
Chongqing-Battery_Storage-11171-2,new.11171,Battery_Storage,Storage,Chongqing,15,FALSE,FALSE,FALSE,TRUE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,TRUE,FALSE,10
Chongqing-Battery_Storage-11171-3,new.11171,Battery_Storage,Storage,Chongqing,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,FALSE,TRUE,10
East_Inner_Mongolia-Battery_Storage-11188-1,new.11188,Battery_Storage,Storage,East_Inner_Mongolia,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,TRUE,FALSE,FALSE,10
East_Inner_Mongolia-Battery_Storage-11188-2,new.11188,Battery_Storage,Storage,East_Inner_Mongolia,15,FALSE,FALSE,FALSE,TRUE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,TRUE,FALSE,10
East_Inner_Mongolia-Battery_Storage-11188-3,new.11188,Battery_Storage,Storage,East_Inner_Mongolia,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,FALSE,TRUE,10
Fujian-Battery_Storage-11178-1,new.11178,Battery_Storage,Storage,Fujian,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,TRUE,FALSE,FALSE,10
Fujian-Battery_Storage-11178-2,new.11178,Battery_Storage,Storage,Fujian,15,FALSE,FALSE,FALSE,TRUE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,TRUE,FALSE,10
Fujian-Battery_Storage-11178-3,new.11178,Battery_Storage,Storage,Fujian,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,FALSE,TRUE,10
Gansu-Battery_Storage-11192-1,new.11192,Battery_Storage,Storage,Gansu,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,TRUE,FALSE,FALSE,10
Gansu-Battery_Storage-11192-2,new.11192,Battery_Storage,Storage,Gansu,15,FALSE,FALSE,FALSE,TRUE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,TRUE,FALSE,10
Gansu-Battery_Storage-11192-3,new.11192,Battery_Storage,Storage,Gansu,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,FALSE,TRUE,10
Guangdong-Battery_Storage-11197-1,new.11197,Battery_Storage,Storage,Guangdong,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,TRUE,FALSE,FALSE,10
Guangdong-Battery_Storage-11197-2,new.11197,Battery_Storage,Storage,Guangdong,15,FALSE,FALSE,FALSE,TRUE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,TRUE,FALSE,10
Guangdong-Battery_Storage-11197-3,new.11197,Battery_Storage,Storage,Guangdong,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,FALSE,TRUE,10
Guangxi-Battery_Storage-11198-1,new.11198,Battery_Storage,Storage,Guangxi,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,TRUE,FALSE,FALSE,10
Guangxi-Battery_Storage-11198-2,new.11198,Battery_Storage,Storage,Guangxi,15,FALSE,FALSE,FALSE,TRUE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,TRUE,FALSE,10
Guangxi-Battery_Storage-11198-3,new.11198,Battery_Storage,Storage,Guangxi,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,FALSE,TRUE,10
Guizhou-Battery_Storage-11199-1,new.11199,Battery_Storage,Storage,Guizhou,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,TRUE,FALSE,FALSE,10
Guizhou-Battery_Storage-11199-2,new.11199,Battery_Storage,Storage,Guizhou,15,FALSE,FALSE,FALSE,TRUE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,TRUE,FALSE,10
Guizhou-Battery_Storage-11199-3,new.11199,Battery_Storage,Storage,Guizhou,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,FALSE,TRUE,10
Hainan-Battery_Storage-11200-1,new.11200,Battery_Storage,Storage,Hainan,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,TRUE,FALSE,FALSE,10
Hainan-Battery_Storage-11200-2,new.11200,Battery_Storage,Storage,Hainan,15,FALSE,FALSE,FALSE,TRUE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,TRUE,FALSE,10
Hainan-Battery_Storage-11200-3,new.11200,Battery_Storage,Storage,Hainan,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,FALSE,TRUE,10
Hebei-Battery_Storage-11183-1,new.11183,Battery_Storage,Storage,Hebei,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,TRUE,FALSE,FALSE,10
Hebei-Battery_Storage-11183-2,new.11183,Battery_Storage,Storage,Hebei,15,FALSE,FALSE,FALSE,TRUE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,TRUE,FALSE,10
Hebei-Battery_Storage-11183-3,new.11183,Battery_Storage,Storage,Hebei,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,FALSE,TRUE,10
Heilongjiang-Battery_Storage-11189-1,new.11189,Battery_Storage,Storage,Heilongjiang,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,TRUE,FALSE,FALSE,10
Heilongjiang-Battery_Storage-11189-2,new.11189,Battery_Storage,Storage,Heilongjiang,15,FALSE,FALSE,FALSE,TRUE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,TRUE,FALSE,10
Heilongjiang-Battery_Storage-11189-3,new.11189,Battery_Storage,Storage,Heilongjiang,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,FALSE,TRUE,10
Henan-Battery_Storage-11172-1,new.11172,Battery_Storage,Storage,Henan,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,TRUE,FALSE,FALSE,10
Henan-Battery_Storage-11172-2,new.11172,Battery_Storage,Storage,Henan,15,FALSE,FALSE,FALSE,TRUE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,TRUE,FALSE,10
Henan-Battery_Storage-11172-3,new.11172,Battery_Storage,Storage,Henan,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,FALSE,TRUE,10
Hubei-Battery_Storage-11173-1,new.11173,Battery_Storage,Storage,Hubei,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,TRUE,FALSE,FALSE,10
Hubei-Battery_Storage-11173-2,new.11173,Battery_Storage,Storage,Hubei,15,FALSE,FALSE,FALSE,TRUE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,TRUE,FALSE,10
Hubei-Battery_Storage-11173-3,new.11173,Battery_Storage,Storage,Hubei,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,FALSE,TRUE,10
Hunan-Battery_Storage-11174-1,new.11174,Battery_Storage,Storage,Hunan,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,TRUE,FALSE,FALSE,10
Hunan-Battery_Storage-11174-2,new.11174,Battery_Storage,Storage,Hunan,15,FALSE,FALSE,FALSE,TRUE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,TRUE,FALSE,10
Hunan-Battery_Storage-11174-3,new.11174,Battery_Storage,Storage,Hunan,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,FALSE,TRUE,10
Jiangsu-Battery_Storage-11179-1,new.11179,Battery_Storage,Storage,Jiangsu,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,TRUE,FALSE,FALSE,10
Jiangsu-Battery_Storage-11179-2,new.11179,Battery_Storage,Storage,Jiangsu,15,FALSE,FALSE,FALSE,TRUE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,TRUE,FALSE,10
Jiangsu-Battery_Storage-11179-3,new.11179,Battery_Storage,Storage,Jiangsu,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,FALSE,TRUE,10
Jiangxi-Battery_Storage-11175-1,new.11175,Battery_Storage,Storage,Jiangxi,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,TRUE,FALSE,FALSE,10
Jiangxi-Battery_Storage-11175-2,new.11175,Battery_Storage,Storage,Jiangxi,15,FALSE,FALSE,FALSE,TRUE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,TRUE,FALSE,10
Jiangxi-Battery_Storage-11175-3,new.11175,Battery_Storage,Storage,Jiangxi,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,FALSE,TRUE,10
Jilin-Battery_Storage-11190-1,new.11190,Battery_Storage,Storage,Jilin,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,TRUE,FALSE,FALSE,10
Jilin-Battery_Storage-11190-2,new.11190,Battery_Storage,Storage,Jilin,15,FALSE,FALSE,FALSE,TRUE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,TRUE,FALSE,10
Jilin-Battery_Storage-11190-3,new.11190,Battery_Storage,Storage,Jilin,15,FALSE,FALSE,FALSE,FALSE,.,0,3000,0.0055,0.02,.,0,0.767,0,FALSE,FALSE,TRUE,10
