LOAD_ZONE,PERIOD,zone_expected_coincident_peak_demand
Anhui,2023,33596.5617771565
Beijing,2023,20975.5383710667
Chongqing,2023,24499.0565838062
East_Inner_Mongolia,2023,13734.3495248503
Fujian,2023,41825.2451426207
Gansu,2023,23144.3383186752
Guangdong,2023,119471.274742366
Guangxi,2023,31906.4934012389
Guizhou,2023,33323.317030864
Hainan,2023,5875.42407365208
Hebei,2023,106717.531926936
Heilongjiang,2023,22659.3350999618
Henan,2023,78009.5446455539
Hubei,2023,46495.6571915768
Hunan,2023,39571.2927431793
Jiangsu,2023,109591.637011142
Jiangxi,2023,22460.2701705406
Jilin,2023,18538.802408205
Liaoning,2023,49131.465689723
Ningxia,2023,14847.0018280834
Qinghai,2023,11017.7904889006
Shaanxi,2023,28534.1495906177
Shandong,2023,93183.9995637006
Shanghai,2023,39830.6246554197
Shanxi,2023,47017.1129921056
Sichuan,2023,48684.7819644476
Tianjin,2023,20235.4622582961
Tibet,2023,1188.43976737324
West_Inner_Mongolia,2023,34287.2712162149
Xinjiang,2023,26779.7213787338
Yunnan,2023,30526.621322705
Zhejiang,2023,87598.2782243776
